id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
2916,STEARETH-13,,Not found, ,Not found,(C2H4O)nC18H38O,"CCCCCCCCCCCCCCCCCCOCCO |lp:18:2,21:2,Sg:n:20,19,18::ht|","polyoxyethylene stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100)stearyl ether,stearyl alcohol_ condensed with 20 moles ethylene oxide (polyethylene oxide stearyl ether),polyoxyethylene (100) stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100) stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100),steareth 21,steareth-2,nan,Steareth-2,Steareth-20,steareth- 20,steareth- 2,Polyoxyethylene monooctadecyl ether,Poly(oxy-1,2-ethanediyl), alpha-octadecyl-omega-hydroxy-,Polyoxyethylene (20) Stearyl Ether,Poly(oxy-1_2-ethanediyl)_ alpha-octadecyl-omega-hydroxy-,steareth-10,PEG STEARYL ETHER,steareth-20,steareth-30,polyoxyethylated stearyl alcohol,steareth 20,steareth 100,steareth 10,steareth 16,steareth 30,polyethylene glycol stearyl ether,octadecan-1-ol, ethoxylated,Steareth-21,Polyoxyethylene Stearyl Ether,steareth-,steareth-21,STEARETH-100,STEARETH-20,STEARETH-21,steareth-15,steareth-100,steareth-5","surfactant,defoamer,backing,Emulsifier,Emulsifying agent,surfactant - cleansing agent,surfactant - solubilizing agent,surfactant - emulsifying agent,cleansing,emulsifying,gel forming"
2917,STEARETH-14,,,,,,,,
2918,STEARETH-15,,Not found, ,Not found,(C2H4O)nC18H38O,"CCCCCCCCCCCCCCCCCCOCCO |lp:18:2,21:2,Sg:n:20,19,18::ht|","polyoxyethylene stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100)stearyl ether,stearyl alcohol_ condensed with 20 moles ethylene oxide (polyethylene oxide stearyl ether),polyoxyethylene (100) stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100) stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100),steareth 21,steareth-2,nan,Steareth-2,Steareth-20,steareth- 20,steareth- 2,Polyoxyethylene monooctadecyl ether,Poly(oxy-1,2-ethanediyl), alpha-octadecyl-omega-hydroxy-,Polyoxyethylene (20) Stearyl Ether,Poly(oxy-1_2-ethanediyl)_ alpha-octadecyl-omega-hydroxy-,steareth-10,PEG STEARYL ETHER,steareth-20,steareth-30,polyoxyethylated stearyl alcohol,steareth 20,steareth 100,steareth 10,steareth 16,steareth 30,polyethylene glycol stearyl ether,octadecan-1-ol, ethoxylated,Steareth-21,Polyoxyethylene Stearyl Ether,steareth-,steareth-21,STEARETH-100,STEARETH-20,STEARETH-21,steareth-15,steareth-100,steareth-5","surfactant,defoamer,backing,Emulsifier,Emulsifying agent,surfactant - cleansing agent,surfactant - solubilizing agent,surfactant - emulsifying agent,cleansing,emulsifying,gel forming"
2919,STEARETH-16,,Not found, ,Not found,(C2H4O)nC18H38O,"CCCCCCCCCCCCCCCCCCOCCO |lp:18:2,21:2,Sg:n:20,19,18::ht|","polyoxyethylene stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100)stearyl ether,stearyl alcohol_ condensed with 20 moles ethylene oxide (polyethylene oxide stearyl ether),polyoxyethylene (100) stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100) stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100),steareth 21,steareth-2,nan,Steareth-2,Steareth-20,steareth- 20,steareth- 2,Polyoxyethylene monooctadecyl ether,Poly(oxy-1,2-ethanediyl), alpha-octadecyl-omega-hydroxy-,Polyoxyethylene (20) Stearyl Ether,Poly(oxy-1_2-ethanediyl)_ alpha-octadecyl-omega-hydroxy-,steareth-10,PEG STEARYL ETHER,steareth-20,steareth-30,polyoxyethylated stearyl alcohol,steareth 20,steareth 100,steareth 10,steareth 16,steareth 30,polyethylene glycol stearyl ether,octadecan-1-ol, ethoxylated,Steareth-21,Polyoxyethylene Stearyl Ether,steareth-,steareth-21,STEARETH-100,STEARETH-20,STEARETH-21,steareth-15,steareth-100,steareth-5","surfactant,defoamer,backing,Emulsifier,Emulsifying agent,surfactant - cleansing agent,surfactant - solubilizing agent,surfactant - emulsifying agent,cleansing,emulsifying,gel forming"
2920,STEARETH-20,,Not found, ,Not found,(C2H4O)nC18H38O,"CCCCCCCCCCCCCCCCCCOCCO |lp:18:2,21:2,Sg:n:20,19,18::ht|","polyoxyethylene stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100)stearyl ether,stearyl alcohol_ condensed with 20 moles ethylene oxide (polyethylene oxide stearyl ether),polyoxyethylene (100) stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100) stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100),steareth 21,steareth-2,nan,Steareth-2,Steareth-20,steareth- 20,steareth- 2,Polyoxyethylene monooctadecyl ether,Poly(oxy-1,2-ethanediyl), alpha-octadecyl-omega-hydroxy-,Polyoxyethylene (20) Stearyl Ether,Poly(oxy-1_2-ethanediyl)_ alpha-octadecyl-omega-hydroxy-,steareth-10,PEG STEARYL ETHER,steareth-20,steareth-30,polyoxyethylated stearyl alcohol,steareth 20,steareth 100,steareth 10,steareth 16,steareth 30,polyethylene glycol stearyl ether,octadecan-1-ol, ethoxylated,Steareth-21,Polyoxyethylene Stearyl Ether,steareth-,steareth-21,STEARETH-100,STEARETH-20,STEARETH-21,steareth-15,steareth-100,steareth-5","surfactant,defoamer,backing,Emulsifier,Emulsifying agent,surfactant - cleansing agent,surfactant - solubilizing agent,surfactant - emulsifying agent,cleansing,emulsifying,gel forming"
2921,STEARETH-21,,Not found, ,Not found,(C2H4O)nC18H38O,"CCCCCCCCCCCCCCCCCCOCCO |lp:18:2,21:2,Sg:n:20,19,18::ht|","polyoxyethylene stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100)stearyl ether,stearyl alcohol_ condensed with 20 moles ethylene oxide (polyethylene oxide stearyl ether),polyoxyethylene (100) stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100) stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100),steareth 21,steareth-2,nan,Steareth-2,Steareth-20,steareth- 20,steareth- 2,Polyoxyethylene monooctadecyl ether,Poly(oxy-1,2-ethanediyl), alpha-octadecyl-omega-hydroxy-,Polyoxyethylene (20) Stearyl Ether,Poly(oxy-1_2-ethanediyl)_ alpha-octadecyl-omega-hydroxy-,steareth-10,PEG STEARYL ETHER,steareth-20,steareth-30,polyoxyethylated stearyl alcohol,steareth 20,steareth 100,steareth 10,steareth 16,steareth 30,polyethylene glycol stearyl ether,octadecan-1-ol, ethoxylated,Steareth-21,Polyoxyethylene Stearyl Ether,steareth-,steareth-21,STEARETH-100,STEARETH-20,STEARETH-21,steareth-15,steareth-100,steareth-5","surfactant,defoamer,backing,Emulsifier,Emulsifying agent,surfactant - cleansing agent,surfactant - solubilizing agent,surfactant - emulsifying agent,cleansing,emulsifying,gel forming"
2922,STEARETH-25,,,,,,,,
2923,STEARETH-27,,,,,,,,
2924,STEARETH-30,,Not found, ,Not found,(C2H4O)nC18H38O,"CCCCCCCCCCCCCCCCCCOCCO |lp:18:2,21:2,Sg:n:20,19,18::ht|","polyoxyethylene stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100)stearyl ether,stearyl alcohol_ condensed with 20 moles ethylene oxide (polyethylene oxide stearyl ether),polyoxyethylene (100) stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100) stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100),steareth 21,steareth-2,nan,Steareth-2,Steareth-20,steareth- 20,steareth- 2,Polyoxyethylene monooctadecyl ether,Poly(oxy-1,2-ethanediyl), alpha-octadecyl-omega-hydroxy-,Polyoxyethylene (20) Stearyl Ether,Poly(oxy-1_2-ethanediyl)_ alpha-octadecyl-omega-hydroxy-,steareth-10,PEG STEARYL ETHER,steareth-20,steareth-30,polyoxyethylated stearyl alcohol,steareth 20,steareth 100,steareth 10,steareth 16,steareth 30,polyethylene glycol stearyl ether,octadecan-1-ol, ethoxylated,Steareth-21,Polyoxyethylene Stearyl Ether,steareth-,steareth-21,STEARETH-100,STEARETH-20,STEARETH-21,steareth-15,steareth-100,steareth-5","surfactant,defoamer,backing,Emulsifier,Emulsifying agent,surfactant - cleansing agent,surfactant - solubilizing agent,surfactant - emulsifying agent,cleansing,emulsifying,gel forming"
2925,STEARETH-40,,,,,,,,
2926,STEARETH-50,,Not found, ,Not found,(C2H4O)nC18H38O,"CCCCCCCCCCCCCCCCCCOCCO |lp:18:2,21:2,Sg:n:20,19,18::ht|","polyoxyethylene stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100)stearyl ether,stearyl alcohol_ condensed with 20 moles ethylene oxide (polyethylene oxide stearyl ether),polyoxyethylene (100) stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100) stearyl ether,stearyl alcohol w/ethylene oxide_ polyoxyethylene (100),steareth 21,steareth-2,nan,Steareth-2,Steareth-20,steareth- 20,steareth- 2,Polyoxyethylene monooctadecyl ether,Poly(oxy-1,2-ethanediyl), alpha-octadecyl-omega-hydroxy-,Polyoxyethylene (20) Stearyl Ether,Poly(oxy-1_2-ethanediyl)_ alpha-octadecyl-omega-hydroxy-,steareth-10,PEG STEARYL ETHER,steareth-20,steareth-30,polyoxyethylated stearyl alcohol,steareth 20,steareth 100,steareth 10,steareth 16,steareth 30,polyethylene glycol stearyl ether,octadecan-1-ol, ethoxylated,Steareth-21,Polyoxyethylene Stearyl Ether,steareth-,steareth-21,STEARETH-100,STEARETH-20,STEARETH-21,steareth-15,steareth-100,steareth-5","surfactant,defoamer,backing,Emulsifier,Emulsifying agent,surfactant - cleansing agent,surfactant - solubilizing agent,surfactant - emulsifying agent,cleansing,emulsifying,gel forming"
2927,STEARIC ACID,,0.1-1 g/100 mL at 23 °C,284.48,0.845 g/cm3,C18H36O2,CCCCCCCCCCCCCCCCCC(O)=O,"['C18', 'FEMA 3035', 'Stearic acid', 'hystrene5016', 'hystrene7018', 'Octadecan acid', 'CETYLACETIC ACID', 'n-Octadecan acid', 'Octadecanoic acid', 'CARBOXYLIC ACID C18', 'ACIDUM STEARICUM 50']","Shampoo,Skin-care,Humectant,Emulsion Stabiliser,Emulsifier,Viscosity Controlling Agent,Skin Conditioning Agent,---,Surfactant,Bulking Agent, softening agent,softening agent,plasticiser; lubricant,unknown,blue 5152: pigment processing aid,pigment processing aid,filler coating,jacket,stearic acid,plasticizer,lubricant,emulsifying / emulsion stabilising / refatting / cleansing,Processing aid,processing aid,fragrance component,wax,ph adjuster,fragrance ingredient,surfactant - cleansing agent,surfactant - emulsifying agentsurfactant-cleansing agent is included as a function for the soap form of stearic acid.,cleansing,emulsifying,emulsion stabilising,masking,refatting,surfactant,flavouring,emulsifier,profile resin ingredient,vulcanizing coagent,additive"
2928,STEARONE,,,,,,,,
2929,STEAROXYTRIMETHYLSILANE,,50Î¼g/L at 20°C,342.67,0.821Â±0.06 g/cm3(Predicted),C21H46OSi,,"['Einecs 242-554-8', 'STEAROXYTRIMETHYLSILANE', 'stearyloxytrimethylsilane', 'trimethyl stearyloxysilane', 'Trimethyl(Octadecoxy)Silane', 'Trimethyl(octadecyloxy)silan', 'trimethyl(octadecyloxy)silane', 'Silane, trimethyl(octadecyloxy)-']",
2930,STEAROYL GLUTAMIC ACID,,,413.59122,1.024Â±0.06 g/cm3(Predicted),C23H43NO5,,"['amisoft ha', 'STEAROYL GLUTAMIC ACID', 'octadecanoylglutamic acid', '(1-oxooctadecyl)-l-glutamic aci', 'N-(1-oxooctadecyl)-L-glutamic acid', 'L-Glutamic acid,N-(1-oxooctadecyl)-(9CI)', 'L-Glutamic acid, N-(1-oxooctadecyl)-(9CI)', 'stearoyl glutamic acid(n-stearoyl-l-glutamic acid)']",
2931,STEAROYL LACTYLIC ACID,,,428.6,,C24H44O6,,"['Stearolac', 'Brn 2164961', 'Marvic acid', 'Stearoyl-2-lactylate', 'Stearoyllactylate salt', 'STEAROYL LACTYLIC ACID', 'Stearoyllactoyllactic acid', '2-(1-carboxyethoxy)-1-methyl-2-oxoethyl stearate']",
2932,STEAROYL LEUCINE,,,397.63,,C24H47NO3,,"['STEAROYL LEUCINE', 'L-Leucine, N-(1-oxooctadecyl)-', '(2S)-4-methyl-2-(octadecanoylamino)pentanoicaci', '(2S)-4-methyl-2-(octadecanoylamino)pentanoic acid']",
2933,STEAROYL SARCOSINE,,,355.56,0.950Â±0.06 g/cm3(Predicted),C21H41NO3,,"['STEAROYL SARCOSINE', 'N-STEAROYLSARCOSINE', 'N-Methyl-N-stearoylglycine', 'N-(1-Oxooctadecyl)sarkosin', '2-(N-Methylstearamido)acetic acid', 'n-methyl-n-(1-oxooctadecyl)-glycin', 'N-methyl-N-(1-oxooctadecyl)-Glycine', 'Glycine, N-methyl-N-(1-oxooctadecyl)-']",
2934,STEARTRIMONIUM BROMIDE,,,,,,,,
2935,STEARTRIMONIUM CHLORIDE,,Soluble in water 1.759 mg/L @ 25°C.,348.06,0.91[at 20°C],C21H46ClN,[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,"['1831', 'TC-8', 'OTAC', 'STAC', 'Aliquat 7', 'Steartrimonium chloride', 'STEARYLTRIMETHYLAMMONIUM CHLORIDE', 'stearyl trimethyl ammoium chloride', 'OCTADECYLTRIMETHYLAMMONIUM CHLORIDE', 'Octadearyldimethylammonium chloride', 'trimethyloctadecylammonium chloride', 'Octadecy trimethyl ammonium chloride', 'n-Octadecyltrimethylammonium Chloride', 'Octadecyl Trimethyl Ammonium Chloride', 'Octadearyl dimethyl ammonium chloride', 'N,N,N-trimethyloctadecan-1-aminium chloride']","emulsifier,preservative,stabilizer,Stabilizer,antistatic agent,hair conditioning agent,antistatic,hair conditioning"
2936,STEARTRIMONIUM METHOSULFATE,,,423.69376,,C22H49NO4S,,"['STEARTRIMONIUM METHOSULFATE', 'stearyltrimethylammoniummethosulfate', 'octadecyltrimethylammonium methyl sulfate', 'Trimethyl(octadecyl)ammonium methyl sulfate', 'trimethyl(octadecyl)ammonium methyl sulphate', 'N-Octadecyl-N,N,N-trimethylammonium methosulfate']",
2937,STEARYL ACETATE,,1.62e-6,312.538,0.845,C20H40O2,CCCCCCCCCCCCCCCCCCOC(C)=O,"Stearyl Acetate,OCTADECYL ACETATE,Octadecyl acetate,octadecylacetate,stearyl acetate,STEARYL ACETATE","Skin Conditioning Agent,skin-conditioning agent - emollient,emollient,skin conditioning"
2938,STEARYL ACETYL GLUTAMATE,,,,,,,,
2939,STEARYL ALCOHOL,,5.58e-8,270.501,0.824,C18H38O,CCCCCCCCCCCCCCCCCCO,"stearyl alcohol,1-octadecanol,1-octadecanol_ (stearyl alcohol),1-octadecanol_ (cetostearyl alcohol),1-octadecanol (99%),1-octadecanol_ stearyl alcohol,1-octadecanol_ (stearyl alcohol). ld50:(oral_rat) 8 g/kg.,stearyl alcohol (mfr gave cas# 122-92-5 which is invalid per base 10 check),nan,1-Octadecanol,Stearyl Alcohol,Stearyl alcohol,stearyl alcohol, octadecanol,octadecanol,Stearyl alcohol (Octadecanol - C8H38O),1-Hydroxyoctadecane,octadecan-1-ol,1-octadecanol stearyl alcohol,STEARYL ALCOHOL,Octadecan-1-ol,_stearyl alcohol","Personal care,Surfactant,Emulsifier,Structurant,Viscosity Controlling Agent,Emulsion Stabiliser,emollient / emulsion stabilising / opacifying / viscosity controlling / foam boosting / refatting,Viscosity increasing agent,Structuring agent,emulsion stabilizer,fragrance ingredient,surfactant - emulsifying agent,surfactant - foambooster,viscosity increasing agent - aqueous,viscosity increasing agent - nonaqueous,emollient,emulsifying,emulsion stabilising,foam boosting,masking,opacifying,refatting,surfactant,viscosity controlling,flavouring"
2940,STEARYL BEHENATE,,8.49e-10,593.06,0.856Â±0.06 g/cm3(Predicted),C40H80O2,CCCCCCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCC,"['stearyl behenate', 'octadecyl docosanoate', 'BEHENIC ACID STEARYL ESTER', 'Docosanoicacid,octadecylester', 'behenicacidstearylestercrystalline']","skin-conditioning agent - occlusive,emollient,skin conditioning"
2941,STEARYL BENZOATE,,,374.6,,C25H42O2,,"['Einecs 234-169-9', 'STEARYL BENZOATE', 'octadecyl benzoate', 'Benzoic acid, stearyl ester', 'Benzoic acid, octadecyl ester']",
2942,STEARYL BETAINE,,,369.62478,,C23H47NO2,,"['STEARYL BETAINE', 'N-Stearyl betaine', 'Octadecyl dimethyl betaine', '(Dimethyloctadecylaminio)acetate', '(carboxylatomethyl)dimethyl(octadecyl)ammonium', 'N-Octadecyl-N,N-dimethylcarboxylatomethanaminium', 'N-(Carboxylatomethyl)-N,N-dimethyl-1-octadecanaminium', '1-Octadecanaminium, N-(carboxymethyl)-N,N-dimethyl-, inner salt']",
2943,STEARYL CAPRYLATE,,,396.69,,C26H52O2,,"['Octadecyloctanoat', 'STEARYL CAPRYLATE', 'octadecyl octanoate', 'Octanoic acid, octadecyl ester']",
2944,STEARYL CITRATE,,Not found,462.62,Not found,C24H46O8, ,"['stearylcitrate', 'STEARYL CITRATE', 'STEARYL CITRATE MONO', 'STEARYL CITRATE, TECH.', 'MONO-N-OCTADECYLCITRATE', 'CITRICACID,MONO-N-OCTADECYLESTER', '2-hydroxy-2-(2-octadecoxy-2-oxoethyl)butanedioate', '2,3-propanetricarboxylicacid,2-hydroxy-octadecylester', '1,2,3-Propanetricarboxylicacid,2-hydroxy-,octadecylester']","Flavoring Agents; Protectors and Developers,skin-conditioning agent - emollient,emollient,skin conditioning"
2945,STEARYL ERUCAMIDE,,,590.06,0.857Â±0.06 g/cm3 (20 °C 760 Torr),C40H79NO,,"['STEARYL ERUCAMIDE', 'OCTADECYLERUCAMIDE', 'N-Stearylerucamide', '(Z)-N-Octadecyldocos--enamid', '(Z)-N-Octadecyl-13-docosenamide', '(Z)-N-octadecyldocos-13-enamide', 'N-Octadecyl-(13Z)-13-docosenamide', '13-Docosenamide, N-octadecyl-, (13Z)-']",
2946,STEARYL ERUCATE,,Not found,587.118,Not found,C42H82,CCCCCCCCCCCCCCCCCCCC(=C)CCCCCCCCCCC\C=C/CCCCCCCC,stearyl erucate,"emollient,viscosity controlling"
2947,STEARYL ETHYLHEXANOATE,,,,,,,,
2948,STEARYL ETHYLHEXYLDIMONIUM METHOSULFATE,,,,,,,,
2949,STEARYL GLYCOL,,,286.49,0.8738 (rough estimate),C18H38O2,,"['octadecane-1,2-diol', 'STEARYL GLYCOL', '1,2-OCTADECANEDIOL', 'Ai3-14194', 'Einecs 243-711-3', 'Nsc 71534', 'o-Hexadecylethanediol', 'C18 Diol']",
2950,STEARYL GLYCYRRHETINATE,,Not found,723.16,1.01Â±0.1 g/cm3(Predicted),C48H82O4,CCCCCCCCCCCCCCCCCCOC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1,"['Stearylglycyrrhetate', 'Stearyl glycyrrhetinate', 'Stearyl glycyrrhizinate', 'Stearyl alcohol licorice ester', 'Octadecyl3-hydroxy-11-oxoolean-12-en-29-oate', 'Stearyl Glycyrrhetinate natural licorice extra', 'octadecyl (2S,4aS,6aR,6aS,6bR,8aR,10S,12aS,14bR)-10-hydroxy-2,4a,6a,6b,9,9,12a-heptamethyl-13-oxo-3,4,5,6,6a,7,8,8a,10,11,12,14b-dodecahydro-1H-picene-2-carboxylate']",
2951,STEARYL HEPTANOATE,,1.81e-6,382.673,0.833,C25H50O2,CCCCCCCCCCCCCCCCCCOC(=O)CCCCCC,"Stearyl Heptanoate,stearyl heptanoate,Heptanoic acid, octadecyl ester,STEARYL HEPTANOATE","Skin Conditioning Agent,fragrance component,skin-conditioning agent - occlusive,emollient,skin conditioning"
2952,STEARYL HYDROXYETHYL IMIDAZOLINE,,,,,,,,
2953,STEARYL LACTATE,,2.70e-5,342.564,0.891,C21H42O3,CCCCCCCCCCCCCCCCCCOC(=O)C(C)O,"STEARYL LACTATE,stearyl lactate","emollient,skin conditioning"
2954,STEARYL LINOLEATE,,Not found,532.938,Not found,C36H68O2,CCCCCCCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCCC,stearyl linoleate,"emollient,opacifying,skin conditioning,viscosity controlling"
2955,STEARYL STEARATE,,0ng/L at 25°C,536.96,0.857Â±0.06 g/cm3(Predicted),C36H72O2,CCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCC,"['FE-78-18', 'FE 78-18', 'Cyclochem SS', 'Stearyl stearate', 'Octadecylstearat', 'octadecyl stearate', 'n-Octadecyl stearate', 'STEARICACID,OCTADECYLESTER', 'Stearyl Stearate Test Solution']","Skin Conditioning Agent,skin-conditioning agent - occlusive,viscosity increasing agent - nonaqueous,emollient,skin conditioning,viscosity controlling"
2956,STEARYL STEAROYL STEARATE,,,,,,,,
2957,STEVIOSIDE,,6.29e-2,804.88,1.53Â±0.1 g/cm3(Predicted),C38H60O18,C[C@@]12CCC[C@](C)([C@H]1CC[C@@]13CC(=C)[C@@](C1)(CC[C@@H]23)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(=O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"['steviosin', 'stevioside', 'Stevia Sugar', 'beta-d-glucopyranosylester', 'kaur-16-en-18-oicacid,13-((2-o-beta-d-glucopyranosyl-alpha-d-glucopyranosyl)o', '(4alpha)-beta-d-glucopyranosyl 13-[(2-o-beta-d-glucopyranosyl-beta-d-glucopyranosyl)oxy]kaur-16-en-18-oate', '13-[(2-O-beta-D-Glucopyranosyl-alpha-D-glucopyranosyl)oxy]kaur-16-en-18-oic acid beta-D-glucopyranosyl ester', '1-O-{(5beta,8alpha,9beta,10alpha,13alpha)-13-[(2-O-beta-D-glucopyranosyl-beta-D-glucopyranosyl)oxy]-18-oxokaur-16-en-18-yl}-beta-D-glucopyranose', '1-O-[(5beta,8alpha,9beta,10alpha,13alpha)-13-{[2-O-(beta-D-Glucopyranosyl)-beta-D-glucopyranosyl]oxy}-18-oxokaur-16-en-18-yl]-beta-D-glucopyranose', '1-O-[(5bÃªta,8alpha,9bÃªta,10alpha,13alpha)-13-{[2-O-(bÃªta-D-Glucopyranosyl)-bÃªta-D-glucopyranosyl]oxy}-18-oxokaur-16-Ã©n-18-yl]-bÃªta-D-glucopyranose', 'beta-d-glucopyranosyl(1r,4as,7s,8ar,10as)-7-(2-o-(beta-d-glucopyranosyl)-alpha-d-glucopyranosyloxy)-1,4a-dimethyl-12-methyleneperhydro-7,8a-ethanophenanthren-1-carboxylate']","flavoring agent,masking,oral care"
2958,STRONTIUM ACETATE,,soluble in 2.5 parts H2O; slightly soluble alcohol [MER06],205.71,"2,099 g/cm3",C4H6O4Sr,,"['NSC 75799', 'STRONTIUM ACETATE', 'Strontium acetate', 'strontiumdiacetate', 'Strontium diacetate', 'Strontium di(acetate)', 'Acetic acid, strontium salt', 'Strontiumacetatereagentwhitepowder']",
2959,STRONTIUM CHLORIDE,,"It is soluble in water, slightly soluble in ethanol, acetone. Insoluble in ammonia.",158.53,3 g/mL at 25 °C (lit.),Cl2Sr,[Cl-].[Cl-].[Sr++],"['Strontium chloride', 'STRONTIUMDICHLORIDE', 'Strontium solution 1000 ppm', 'strontium chloride solution', 'Strontium chloride anhydrous', 'strontium chloride, ultra dry', 'Strontium solution 10 000 ppm', 'Strontium chloride 0.1 M Solution', 'Strontium atomic absorption standard solution', 'STRONTIUM ATOMIC SPECTROSCOPY STD. CONC.  1.00 G SR, AMPOULE', 'strontium atomic spectroscopy standard concentrate 1.00 g sr']","oral care,skin conditioning,soothing"
2960,STRONTIUM HYDROXIDE,,"g/100g solution in H2O: 0.90 (0°C), 2.16 Â± 0.41 (25°C), 47.71 (100°C); solid phase, Sr(OH)2 Â· 8H2O [KRU93]",121.63,3.625,H2O2Sr,O[Sr]O,"['Sr(OH)2', 'strontium hydrate', 'Strontium hydroxide', 'STRONTIUM HYDROXIDE', 'strontiumdihydroxide', 'Strontium dihydroxide', 'STRONTIUM (II) HYDROXIDE', 'strontiumhydroxide(sr(oh)2)', 'strontiumhydroxide,anhydrous', 'Strontium hydroxide (Sr(OH)2)']",
2961,STRONTIUM PEROXIDE,,Insoluble in water and slowly decomposes in water.,119.62,4.56g/mLat 25°C(lit.),O2Sr,O1O[Sr]1,"['UN1509', 'HSDB 788', 'Strontium dioxide', 'STRONTIUM DIOXIDE', 'Strontium peroxide', 'STRONTIUM PEROXIDE', 'StrontiumPeroxides3552', 'strontium dioxidanediide', 'strontiumperoxide(sr(o2))', 'Strontium peroxide (Sr(O2))', 'Strontium peroxide [UN1509]  [Oxidizer]']","bleaching,oxidising"
2962,STRONTIUM THIOGLYCOLATE,,6.29,269.83,1.31,C4H6O4S2Sr,[Sr++].[O-]C(=O)CS.[O-]C(=O)CS,strontium thioglycolate,"depilatory,hair waving or straightening,reducing"
2963,STYRENE ACRYLAMIDE COPOLYMER,,,,,,,,
2964,STYRENE BUTADIENE COPOLYMER,,,,,,,,
2965,STYRENE MA COPOLYMER,,,,,,,,
2966,STYRENE PVP COPOLYMER,,,,,,,,
2967,SUCCINIC ACID,,80 g/L (20 °C),118.09,1.19g/mLat 25°C(lit.),C4H6O4,OC(=O)CCC(O)=O,"['asuccin', 'amber acid', 'katasuccin', 'butanedioate', 'Succinic Acid', 'wormwood acid', 'Butane diacid', 'bernsteinsaure', 'Butanedioic acid', 'Succinic acid ACS', 'Succinic acid,ACS', 'SUCCINIC ACID FCC', 'kyselina jantarova', 'dihydrofumaric acid', 'ethylenesuccinic acid', 'bernsteinsaure (german)', 'SUCCINIC ACID EXTRA PURE', 'ethylene dicarboxylic acid', '1,2-ethanedicarboxylic acid', 'Ethane-1,2-dicarboxylic acid', 'ButandisÎ±ure(Hochtemperaturform,Î±-Form)']","fragrance component,fragrance ingredient,ph adjuster,buffering,masking,flavouring"
2968,SUCROSE,,1970 g/L (15 °C),342.3,1.5805,C12H22O11,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,"['SUGAR', 'Sucrose', 'SUCROSE', 'SACCHARUM', 'SACCHAROSE', 'D(+)-Sucrose', 'sucrose, pure', 'D-(+)-Sucrose', 'D-(+)-Saccharose', 'SUCROSE SOLUTION', 'SUCROSE STANDARD', 'Erlotinib-d16 HCl', 'SUCROSE CONFECTIONERS', 'Sucrose, protease free', 'Sucrose, MB Grade (1.07654)', 'hex-2-ulofuranosyl hexopyranoside', 'a-D-Glucopyranosyl b-D-fructofuranoside', 'Sucrose, Ultra Pure, Molecular Biology Grade', 'beta-D-fructofuranosyl alpha-D-glucopyranoside']","Binder,Hog Scald Agents (must be removed by subsequent cleaning operations),fragrance component,flavoring agent,humectant,skin conditioning,soothing"
