id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
2944,Sodium Cellulose Sulfate,,,,,,,,
2945,Sodium Cetearyl Sulfate,,,,,,,,
2946,Sodium Ceteth-13 Carboxylate,,,,,,,,
2947,Sodium Cetyl Sulfate,,,,,,,,
2948,Sodium Cetyl Sulfate,,,,,,,,
2949,Sodium Chlorate,,1000 g/L (20???),106.441,,NaClO3,,chlorate de sodiumNatriumchloratSodium chlorate (industrial),
2950,Sodium Chloride,,360 g/L (20???),58.44,,NaCl,,SaltSEA SALTTANKER FINE SaltSODIUM STOCK SOLUTIONSODIUM STANDARD STOCK SOLRaw saltHalite (NaCl)Halite,
2951,Sodium Cholesteryl Sulfate,,,488.7,,C27H45NaO4S,,"Cholesterol-3-sulfate, Sodium Salt,Cholesteryl sodium sulfateSodium cholesteryl sulfatesodium (3beta)-cholest-5-en-3-yl sulfate",
2952,Sodium Chondroitin Sulfate,,,499.38,,(C14H19NO14SNa2)n,,"SODIUM CHONDROITIN SULFATEChondroitinSulphateACSAChondroitin-4-sulfateCHONDROITIN SULFATE A ORAL (FROM BEEF TRACHEA)CHONDROITIN SULFATE A SODIUM SALT(RG)Chondroitin sulfate sodium salt (bovine)Chondroitine sulfateColistin sulfate, PolyMyxin E,",
2953,Sodium Citrate,,,,,,,Sodium Citrate Buffer,
2954,Sodium Cocoamphoacetate,,,,,,,,
2955,Sodium Cocoyl Glutamate,,,169.111,,C5H9NO4??Na,,Sodium cocoyl glutamateSodium cocoanutylglutamate,
2956,Sodium Cocoyl Isethionate,,,,,,,,
2957,Sodium Cocoyl Sarcosinate,,,0,,C3H7NO2??Na,,"SODIUM COCOYL SARCOSINATE ,WATER,Cocoyl sodium sarcosinateGlycine, N-methyl-, N-coco acyl derivs., sodium salts,COCOYL SARCOSINE SODIUM SALTGlycin, N-Methyl-, N-Kokos-acylderivate, Natriumsalze,",
2958,Sodium Cyclamate,,>=10 g/100 mL at 20???,201.22,,C6H12NNaO3S,,"sodium cyclohexanesulfamatecyclohexylsulfamic acid, sodium salt,cyclamic acid sodium crystallinesodium cyclohexylsulphamateSodium N-cyclohexylsulfamateCyclohexansulfamic acid Sodium saltCyclamate SodiumN-Cyclohexylsulphamic acid sodium saltBeet Sugar MolassesBeet molassessodium cyclohexylsulfamate",
2959,Sodium Cyclopentane Carboxylate,,,138.14,,C6H11NaO2,,SODIUM CYCLOPENTANE CARBOXYLATE,
2960,Sodium Deceth-2 Carboxylate,,,,,,,,
2961,Sodium Decyl Sulfate,,,260.33,,C10H21NaO4S,,Sodium decyl sulfate,
2962,Sodium Dehydroacetate,,,190.13,,C8H5NaO6,,"DHA-SDHA-sodiumDHNharven2H-Pyran-2,4(3H)-dione, 3-acetyl-6-methyl-, ion (1-), sodium,3-(1-hydroxyethylidene)-6-methyl-2H-pyran-2,4(3H)-dione sodium salt,sodium 3-acetyl-6-methyl-2H-pyran-2,4(3H)-dione,4-hexenoic acid, 2-acetyl-5-hydroxy-3-oxo, delta-lactone, sodium derivative,Acetyl-5-hydroxy-3-oxo-4-henenoic acid, delta-lactone, sodium deriv.,Acetyl-6-methyl-2H-pyran-2,4(3H)-dione, sodium,Pyran-2,4(3H)-dione, 3-acetyl-6-methyl-, ion(1-), sodium,sodium 3-acetyl-6-methyl-4-oxo-4H-pyran-2-olatesodium 3-acetyl-6-methyl-2-oxo-2H-pyran-4-olate",
2963,Sodium Dehydroacetate,,,190.13,,C8H5NaO6,,"DHA-SDHA-sodiumDHNharven2H-Pyran-2,4(3H)-dione, 3-acetyl-6-methyl-, ion (1-), sodium,3-(1-hydroxyethylidene)-6-methyl-2H-pyran-2,4(3H)-dione sodium salt,sodium 3-acetyl-6-methyl-2H-pyran-2,4(3H)-dione,4-hexenoic acid, 2-acetyl-5-hydroxy-3-oxo, delta-lactone, sodium derivative,Acetyl-5-hydroxy-3-oxo-4-henenoic acid, delta-lactone, sodium deriv.,Acetyl-6-methyl-2H-pyran-2,4(3H)-dione, sodium,Pyran-2,4(3H)-dione, 3-acetyl-6-methyl-, ion(1-), sodium,sodium 3-acetyl-6-methyl-4-oxo-4H-pyran-2-olatesodium 3-acetyl-6-methyl-2-oxo-2H-pyran-4-olate",
2964,Sodium Dehydroacetate,,,190.13,,C8H5NaO6,,"DHA-SDHA-sodiumDHNharven2H-Pyran-2,4(3H)-dione, 3-acetyl-6-methyl-, ion (1-), sodium,3-(1-hydroxyethylidene)-6-methyl-2H-pyran-2,4(3H)-dione sodium salt,sodium 3-acetyl-6-methyl-2H-pyran-2,4(3H)-dione,4-hexenoic acid, 2-acetyl-5-hydroxy-3-oxo, delta-lactone, sodium derivative,Acetyl-5-hydroxy-3-oxo-4-henenoic acid, delta-lactone, sodium deriv.,Acetyl-6-methyl-2H-pyran-2,4(3H)-dione, sodium,Pyran-2,4(3H)-dione, 3-acetyl-6-methyl-, ion(1-), sodium,sodium 3-acetyl-6-methyl-4-oxo-4H-pyran-2-olatesodium 3-acetyl-6-methyl-2-oxo-2H-pyran-4-olate",
2965,Sodium Dehydroacetate,,,190.13,,C8H5NaO6,,"DHA-SDHA-sodiumDHNharven2H-Pyran-2,4(3H)-dione, 3-acetyl-6-methyl-, ion (1-), sodium,3-(1-hydroxyethylidene)-6-methyl-2H-pyran-2,4(3H)-dione sodium salt,sodium 3-acetyl-6-methyl-2H-pyran-2,4(3H)-dione,4-hexenoic acid, 2-acetyl-5-hydroxy-3-oxo, delta-lactone, sodium derivative,Acetyl-5-hydroxy-3-oxo-4-henenoic acid, delta-lactone, sodium deriv.,Acetyl-6-methyl-2H-pyran-2,4(3H)-dione, sodium,Pyran-2,4(3H)-dione, 3-acetyl-6-methyl-, ion(1-), sodium,sodium 3-acetyl-6-methyl-4-oxo-4H-pyran-2-olatesodium 3-acetyl-6-methyl-2-oxo-2H-pyran-4-olate",
2966,Sodium Dehydroacetate,,,190.13,,C8H5NaO6,,"DHA-SDHA-sodiumDHNharven2H-Pyran-2,4(3H)-dione, 3-acetyl-6-methyl-, ion (1-), sodium,3-(1-hydroxyethylidene)-6-methyl-2H-pyran-2,4(3H)-dione sodium salt,sodium 3-acetyl-6-methyl-2H-pyran-2,4(3H)-dione,4-hexenoic acid, 2-acetyl-5-hydroxy-3-oxo, delta-lactone, sodium derivative,Acetyl-5-hydroxy-3-oxo-4-henenoic acid, delta-lactone, sodium deriv.,Acetyl-6-methyl-2H-pyran-2,4(3H)-dione, sodium,Pyran-2,4(3H)-dione, 3-acetyl-6-methyl-, ion(1-), sodium,sodium 3-acetyl-6-methyl-4-oxo-4H-pyran-2-olatesodium 3-acetyl-6-methyl-2-oxo-2H-pyran-4-olate",
2967,Sodium Dihydroxycetyl Phosphate,,,,,,,,
2968,Sodium Dihydroxyethylglycinate,,,,,,,,
2969,Sodium Erythorbate,,,198.12,,C6H7NaO6,,"D-vc3-keto-d-gulofuranolactoseerbitneribatenisonamercate20neo-cebitateozobansodiumd-erythro-3-oxohexonatelactonesodiumenolatemonohydrateisoascorbicacid sodium salterythorbic acid sodium saltd(+)-isoascorbic acid sodium saltd-isoascorbic acid sodium saltsodium d-isoascorbatesodium erythorbatesodium-iso-ascorbated-isoascorbic acid na saltaraboascorbinicacidsodiumsaltd-araboascorbic acid sodium saltsodium d-araboascorbatesodiumerythorbate,fcc(bulk,isoascorbic acid(rg)sodiumerythorbicacid2,3-didehydro-3-o-natrio-d-erythro-hexono-1,4-lacton,erythorbic acid monosodium saltd-sodium isoascorbiated-erythro-hex-2-enonic acid gamma-lactone monosodium saltsodium erythorbate fccivD-erythro-hex-1-enofuranos-3-ulosesodium 2-(4,5-dihydroxy-3-oxo-2,3-dihydrofuran-2-yl)-2-hydroxyethanolate (non-preferred name),sodium (2R)-2-[(2R)-4,5-dihydroxy-3-oxo-2,3-dihydrofuran-2-yl]-2-hydroxyethanolate (non-preferred name),",
2970,Sodium Ethyl 2-Sulfolaurate,,,330.41,,C14H27NaO5S,,"Dodecanoic acid, 2-sulfoethyl ester, sodium salt,Sodium 2-sulfoethyldodecanoateSodium ethyl 2-sulfolaurateSodium lauroyl isethionateSodium lauryl isethionate2-Sulfoethyl dodecanoate sodium salt2-Sulfoethyl laurate sodium saltCCRIS 528Igepon ALauroyl isethionate, sodium salt,Sodium 2-sulfoethyl laurateUNII-M590021Z02Lauric acid, ester with 2-hydroxyethanesulfonic acid sodium salt,Sodium 2-sulphonatoethyl laurateSodium lauroylisethionatesodium 2-(dodecanoyloxy)ethanesulfonate",
2971,Sodium Ethylhexyl Sulfate,,,,,,,,
2972,Sodium Ethylparaben,,,188.16,,C9H9NaO3,,"p-Hydroxybenzoic acid ethyl ester sodium saltSODIUM ETHYL-P-HYDROXYBENZOATESODIUM ETHYL 4-HYDROXYBENZOATEsodium 4-ethoxycarbonylphenoxidebenzoicacid,4-hydroxy-,ethylester,sodiumsalt,Benzoicacid,p-hydroxy-,ethylester,sodiumderiv.,ETHYL-P-HYDROXYBENZOATE SODIUM SALTETHYL-4-HYDROXYBENZOIC ACID SODIUM SALTsodium saltEthyl 4-hydroxybenzoate,sodium salt,Sodium EthylparabenEthyl Paraben Sodiumsodium 4-(ethoxycarbonyl)phenolateEthyl p-hydroxybenzoate sodium",
2973,Sodium Fluoride,,,61.9945,,F2HNa,,"FluoruroacidodesodioSodiumbifluoride,Solid,Sodiumbifluoride,Solution,Sodiumfluoride(Na(Hf2))Sodium DifluorideSodium BifluorideSodium Acid FluorideSodium Hydrogen DifluorideSodium Hydrogen Fluoride, Pellets, 3 Mm,Sodium Hydrogenfluoride, Granule,Sodium Hydrogen Difluoride Centri- Fugedried, Technical,Sodium Bifluoride TechnicalSodiumbifluoride,Technical(Bulk,Natriumhydrogenfluoride",
2974,Sodium Formate,,Soluble,68.01,,CHNaO2,,"SodiumformatehydrateFormic acid sodium saltformic acid sodium sigmaultraformic acid sodiumFORMIC ACID, NA SALT,Mravencan sodnyFormic acid, sodium salt,Salachlor",
2975,Sodium Fumarate,,,138.06,,C4H3NaO4,,"Sodium fumarate2-Butenedioic acid (E)-, sodium salt,Fumaric acid, sodium salt,Sodium 2-butenedioate, (E)-,UNII-F11949924I",
2976,Sodium Gluconate,,,218.14,,C6H11NaO7,,"SODIUM GLUCONATE REGluconic Acid SodiumSodium gluconatesodium 2,3,4,5,6-pentahydroxyhexanoate (non-preferred name),D-Gluconic acid, monosodium salt,Gluconic acid sodium salt",
2977,Sodium Glucuronate,,,234.14,,C6H9NaO7?? H2O,,Sodium Glucurononate4-Fluoro cinnamonitrile,
2978,Sodium Glutamate,,,169.11,,C5H8NNaO4,,"Monosodium DL-glutamateGlutamic acid, monosodium salt, DL-,Monosodium GlutamateSodium GlutamateGlutamic acid, monosodium salt,sodium 2-amino-4-carboxybutanoatedisodium 2-aminopentanedioate",
2979,Sodium Glutamate,,,169.11,,C5H8NNaO4,,"Monosodium DL-glutamateGlutamic acid, monosodium salt, DL-,Monosodium GlutamateSodium GlutamateGlutamic acid, monosodium salt,sodium 2-amino-4-carboxybutanoatedisodium 2-aminopentanedioate",
2980,Sodium Glutamate,,,169.11,,C5H8NNaO4,,"Monosodium DL-glutamateGlutamic acid, monosodium salt, DL-,Monosodium GlutamateSodium GlutamateGlutamic acid, monosodium salt,sodium 2-amino-4-carboxybutanoatedisodium 2-aminopentanedioate",
2981,Sodium Glutamate,,,169.11,,C5H8NNaO4,,"Monosodium DL-glutamateGlutamic acid, monosodium salt, DL-,Monosodium GlutamateSodium GlutamateGlutamic acid, monosodium salt,sodium 2-amino-4-carboxybutanoatedisodium 2-aminopentanedioate",
2982,Sodium Glutamate,,,169.11,,C5H8NNaO4,,"Monosodium DL-glutamateGlutamic acid, monosodium salt, DL-,Monosodium GlutamateSodium GlutamateGlutamic acid, monosodium salt,sodium 2-amino-4-carboxybutanoatedisodium 2-aminopentanedioate",
2983,Sodium Glycerophosphate,,almost transparency,216.04,,C3H7Na2O6P,,??-Glycerol phosphate disodium salt hydrateGLYCEROPHOSPHATE DISODIUM SALT PENTAHYDRATEglycerophosphate disodium hydrateGlycerosphate disodium salt pentahydrateGlycerol phosphate hydrate disodium saltGlycerol phosphate disodium salt hydrate,
2984,Sodium Glycerophosphate,,almost transparency,216.04,,C3H7Na2O6P,,??-Glycerol phosphate disodium salt hydrateGLYCEROPHOSPHATE DISODIUM SALT PENTAHYDRATEglycerophosphate disodium hydrateGlycerosphate disodium salt pentahydrateGlycerol phosphate hydrate disodium saltGlycerol phosphate disodium salt hydrate,
2985,Sodium Glycerophosphate,,almost transparency,216.04,,C3H7Na2O6P,,??-Glycerol phosphate disodium salt hydrateGLYCEROPHOSPHATE DISODIUM SALT PENTAHYDRATEglycerophosphate disodium hydrateGlycerosphate disodium salt pentahydrateGlycerol phosphate hydrate disodium saltGlycerol phosphate disodium salt hydrate,
2986,Sodium Glycerophosphate,,almost transparency,216.04,,C3H7Na2O6P,,??-Glycerol phosphate disodium salt hydrateGLYCEROPHOSPHATE DISODIUM SALT PENTAHYDRATEglycerophosphate disodium hydrateGlycerosphate disodium salt pentahydrateGlycerol phosphate hydrate disodium saltGlycerol phosphate disodium salt hydrate,
2987,Sodium Glycerophosphate,,almost transparency,216.04,,C3H7Na2O6P,,??-Glycerol phosphate disodium salt hydrateGLYCEROPHOSPHATE DISODIUM SALT PENTAHYDRATEglycerophosphate disodium hydrateGlycerosphate disodium salt pentahydrateGlycerol phosphate hydrate disodium saltGlycerol phosphate disodium salt hydrate,
2988,Sodium Glycerophosphate,,almost transparency,216.04,,C3H7Na2O6P,,??-Glycerol phosphate disodium salt hydrateGLYCEROPHOSPHATE DISODIUM SALT PENTAHYDRATEglycerophosphate disodium hydrateGlycerosphate disodium salt pentahydrateGlycerol phosphate hydrate disodium saltGlycerol phosphate disodium salt hydrate,
2989,Sodium Guiazulene Sulfonate,,,,,,,,
2990,Sodium Heparin,,"Soluble in water, dimethyl sulfoxide and ethanol.",0,,ca. (C12H16NS2Na3)20,,Ardeparin sodiumDalteparin SodiumTinzaparin SodiumFragminSodium Heparin,
2991,Sodium Hexeth-4 Carboxylate,,,,,,,,
2992,Sodium Hydrosulfite,,250 g/L (20???),174.107,,Na2O4S2,,Sodium dithionite hydrateSodium hydrosulphiteSodium dithionitedisodium dithionite,
2993,Sodium Hydroxide,,SOLUBLE,41.0045,,NaOH,,"Caustic sodalye, caustic,sodium hydratesoda lyewhite causticcaustic soda flakesflake causticcaustic soda solidcaustic soda pearlssolid caustic sodaLiquid Caustic SodaFood Additives Sodium HydroxideCaustic soda flakeSolid Sodium hydroxideGranular sodium hydroxide",
2994,Sodium Hydroxymethane Sulfonate,,,,,,,,
2995,Sodium Hydroxymethylglycinate,,,127.07,,C3H6NNaO3,,"Hydroxymethylaminoacetic acid, sodium salt,Hydroxymethylglycine, sodium salt,Integra 44Sodium hydroxymethylamino acetateSuttocide Asodium hydroxymethylglycinateGlycine, N-(hydroxymethyl)-, monosodium salt,N-(Hydroxymethyl)glycine, monosodium salt,sodium [(hydroxymethyl)amino]acetate",
2996,Sodium Iodate,,soluble,197.892,,NaIO3,,Sodiumiodatewhitepowder,
2997,Sodium Iodide,,184 g/100 mL (25???),149.89,3.66,NaI,,Sodiumiodide anhydrous,
2998,Sodium Isethionate,,SOLUBLE,148.11,,C2H5NaO4S,,"Ethanesulfonic acid, 2-hydroxy-, monosodium salt,2-Hydroxyethanesulfonic acid, sodium salt,Isethionic acid, sodium salt,sodium 2-hydroxyethanesulfonate2-hydroxyethanesulfonateSodium isethionate",
2999,Sodium Isostearate,,,,,,,,
3000,Sodium Isostearoamphopropionate,,,,,,,,
3001,Sodium Isostearoyl Lactate,,,,,,,,
3002,Sodium Isostearoyl Lactylate,,,,,,,,
3003,Sodium Lactate,,,112.06,,C3H5NaO3,,dl-lactic acid sodium salt solutiondl-lactic acid sodiumSodium DL-lactate solutionsodium 2-hydroxypropanoateSodium lactate,
3004,Sodium Lauraminopropionate,,,,,,,,
3005,Sodium Laurate,,,222.3,,C12H23NaO2,,"Dodecanoic acid, sodium salt,Sodium laurateCaswell No. 778AEPA Pesticide Chemical Code 079026Lauran sodnyLauran sodny [Czech]Lauric acid, sodium salt,Sodium dodecanoate",
3006,Sodium Laureth Sulfate,,,376.48,1.05,C16H33NaO6S,,"Sodium laurathe sulfateEthanol, 2-2-(dodecyloxy)ethoxy-, hydrogen sulfate, sodium salt,Diethylene glycol monolauryl ether sodium sulfate.SODIUMLAURYLDIGLYCOLETHERSULPHATE2-(2-DODECYLOXYETHOXY)ETHYLSULFATENatrium-2-(2-dodecyloxyethoxy)ethylsulfatsodium lauryl diethoxysulfate2-(2-Dodecyloxyethoxy)ethyl sodium sulfate",
3007,Sodium Laureth-4 Carboxylate,,,,,,,,
3008,Sodium Laureth-4 Phosphate,,,,,,,,
3009,Sodium Laureth-5 Carboxylate,,,,,,,,
3010,Sodium Laureth-5 Sulfate,,,332.434,,C14H29O5NaS,,Sodium Laureth-7 SulfateSodium Laureth-8 SulfateSodium Laureth-5 SulfateSodium lauryl ether sulphateAES,
3011,Sodium Laureth-6 Carboxylate,,,,,,,,
3012,Sodium Laureth-7 Sulfate,,,332.434,,C14H29O5NaS,,Sodium Laureth-7 SulfateSodium Laureth-8 SulfateSodium Laureth-5 SulfateSodium lauryl ether sulphateAES,
3013,Sodium Laureth-8 Sulfate,,,332.434,,C14H29O5NaS,,Sodium Laureth-7 SulfateSodium Laureth-8 SulfateSodium Laureth-5 SulfateSodium lauryl ether sulphateAES,
3014,Sodium Laureth-11 Carboxylate,,,,,,,,
3015,Sodium Laureth-12 Sulfate,,,,,,,,
3016,Sodium Laureth-13 Carboxylate,,,,,,,,
3017,Sodium Laureth-14 Carboxylate,,,,,,,,
3018,Sodium Laureth-17 Carboxylate,,,,,,,,
3019,Sodium Lauriminodipropionate,,,,,,,,
3020,Sodium Lauroampho Pg-Acetate Phosphate,,,,,,,,
3021,Sodium Lauroamphoacetate,,,349.464,,C18H33N2O3.Na,,"1-(Carboxymethyl)-4,5-dihydro-1-(2-hydroxyethyl)-2-undecyl-1H-imidazolium inner salt sodium saltColateric SLAA,Dehyton ML 50",
3022,Sodium Lauroamphohydroxypropylsulfonate,,,,,,,,
3023,Sodium Lauroyl Aspartate,,,,,,,,
3024,Sodium Lauroyl Aspartate,,,,,,,,
3025,Sodium Lauroyl Glutamate,,,351.42,,C17H30NO5.Na,,"SODIUM LAUROYL GLUTAMATESodium lauroylglutamatesodium (2S)-4-carboxy-2-(dodecanoylamino)butanoateN-dodecanoyl-L-glutamic acidsodium 1-[(5-oxidanidyl-5-oxidanylidenenorvalyl)oxy]-1-oxododecaneL-Glutamic acid, N-(1-oxo-dodecyl)-, sodium salt,L-Glutamic acid,N-(1-oxo-dodecyl)-,sodium salt,",
3026,Sodium Lauroyl Glutamate,,,351.42,,C17H30NO5.Na,,"SODIUM LAUROYL GLUTAMATESodium lauroylglutamatesodium (2S)-4-carboxy-2-(dodecanoylamino)butanoateN-dodecanoyl-L-glutamic acidsodium 1-[(5-oxidanidyl-5-oxidanylidenenorvalyl)oxy]-1-oxododecaneL-Glutamic acid, N-(1-oxo-dodecyl)-, sodium salt,L-Glutamic acid,N-(1-oxo-dodecyl)-,sodium salt,",
3027,Sodium Lauroyl Glutamate,,,351.42,,C17H30NO5.Na,,"SODIUM LAUROYL GLUTAMATESodium lauroylglutamatesodium (2S)-4-carboxy-2-(dodecanoylamino)butanoateN-dodecanoyl-L-glutamic acidsodium 1-[(5-oxidanidyl-5-oxidanylidenenorvalyl)oxy]-1-oxododecaneL-Glutamic acid, N-(1-oxo-dodecyl)-, sodium salt,L-Glutamic acid,N-(1-oxo-dodecyl)-,sodium salt,",
3028,Sodium Lauroyl Isethionate,,,330.41,,C14H27NaO5S,,"Dodecanoic acid, 2-sulfoethyl ester, sodium salt,Sodium 2-sulfoethyldodecanoateSodium ethyl 2-sulfolaurateSodium lauroyl isethionateSodium lauryl isethionate2-Sulfoethyl dodecanoate sodium salt2-Sulfoethyl laurate sodium saltCCRIS 528Igepon ALauroyl isethionate, sodium salt,Sodium 2-sulfoethyl laurateUNII-M590021Z02Lauric acid, ester with 2-hydroxyethanesulfonic acid sodium salt,Sodium 2-sulphonatoethyl laurateSodium lauroylisethionatesodium 2-(dodecanoyloxy)ethanesulfonate",
3029,Sodium Lauroyl Lactylate,,,,,C15H27NaO4,,,
3030,Sodium Lauroyl Methylaminopropionate,,,,,,,,
3031,Sodium Lauroyl Sarcosinate,,,293.39,,C15H28NNaO3,,"Sodium N-Lauroyl SarcosinateN-Lauroylsarcosine sodium saltN-MethylglycinolSarkosylSODIUM LAUROYL SARCOSINATEsodium [dodecanoyl(methyl)amino]acetatesodium 2-(decanoyl-methyl-amino)acetateLauryl sarcosine sodiumSodium N-dodecylsarcosinateSodium N-lauroyl sarcosineSodium N-lauryl sarcosineSodium N-laurylsarcosinateSodium lauroylsarcosinateSodium laurylsarcosinateGlycine, N-dodecyl-N-methyl-, sodium salt,Sarcosine, N-dodecyl-, sodium salt,Sodium N-dodecyl-N-methylglycinateN-Dodecylsarcosine, sodium salt,sodium [dodecyl(methyl)amino]acetateN-dodecyl-N-methylglycine",
3032,Sodium Lauroyl Taurate,,,,,,,,
3033,Sodium Lauryl Phosphate,,,,,,,,
3034,Sodium Lauryl Sulfate,,ca. 150 g/L (20???),288.38,,C12H25NaO4S,,"Sodium lauryl sulfatep and g emulsifier 104akyposal sdsaquarex meaquarex methylavirol 101avirol 118berol 452carsonol slscarsonol sls paste bcarsonol sls specialconco sulfate waconco sulfate wa-1200conco sulfate wa-1245conco sulfate wagconco sulfate wanconco sulfate wasconco sulfate wncycloryl 21cycloryl 31cycloryl 580cycloryl 585ndehag sulfate gl emulsiondetergent 66Dreftdupanalduponal waqeduponolduponol cduponol meduponol methylduponol qxduponol waduponol waqduponol waqaduponol waqmemal 10Emal oemersal 6400empicol lpzempicol ls 30empicol lx 28emulsifier no. 104finasol osr (sub 2)gardinolhexamol slsIriumlanette wax-smaprofix 563maprofix lkmaprofix neumaprofix wacmaprofix wac-lamelanol clmelanol cl 30monogen y 100montopol la pasteneutrazymenikkol slsodoripon al 95orvus wa pasteperlandrol lproduct no. 161product no. 75quolac ex-ubrewopol nls 30richonol arichonol africhonol cSDSsinnopon ls 100sinnopon ls 95sintapon lsipex opsipex sbsipex sdsipex spsipex ubsipon lssipon ls 100sipon lsbsipon pdsipon wdSLSSodium dodecanesulfatedodecyl alcohol, hydrogen sulfate, sodium salt,Sodium LaurylsulfateLauryl Sodium SulfateDodecyl sodium sulfatesodium monolauryl sulfatemonododecyl sodium sulfaten-dodecyl sulfate sodiumSulfuric acid monododecyl ester sodium saltsolsol needlesstandapol 112steinapol nls 90stepanol mesterling wa pastesulfetal l 95sulfopon wa 1sulfotex waswascol 3lsyntapontarapon k 12texapon DLtrepenol watvm 474ultra sulfate sl-1WAQEK12Sodium LaurylsulfateSulfuric acid monododecyl ester sodium saltsulfuric acid, dodecyl ester, sodium salt,Sulfuric acid, monododecyl ester, sodium salt,Natriumalkyl(C8-C20)-sulfate",
3035,Sodium Lauryl Sulfoacetate,,,,,,,,
3036,Sodium Levulinate,,,138.097,,C5H7NaO3,,,
3037,Sodium Lignosulfonate,,,534.51,,C20H24Na2O10S2,,Ligninesulfonic acid sodium saltSodium LignosulphonateSodium lignosulfonateSodium lignosulfonateSodium Lingosulfonate,
3038,Sodium Lignosulfonate,,,534.51,,C20H24Na2O10S2,,Ligninesulfonic acid sodium saltSodium LignosulphonateSodium lignosulfonateSodium lignosulfonateSodium Lingosulfonate,
3039,Sodium Linoleate,,,,,,,,
3040,Sodium Linoleate,,,,,,,,
3041,Sodium Linoleate,,,,,,,,
3042,Sodium Magnesium Fluorosilicate,,,,,,,,
3043,Sodium Malate,,,178.05,,C4H4Na2O5,,"DL-Disodium malateSodium DL-MalateSodium malatebutanedioic acid, 2-hydroxy-, monosodium salt,dl-malic acid, disodium salt,DL-Malic acid disodium saltdl-malic acid disodiumMalicaciddisodiumsalt",
3044,Sodium Mannuronate Methylsilanol,,,,,,,,
3045,Sodium Metabisulfite,,540 g/L (20???),190.11,,Na2S2O5,,Sodium pyrosulfitedisodium disulphiteSodium metabisulphiteSodium disulphiteSodium pyrosulphiteSODIUM DISULFITEdisodium oxidosulfanesulfonate oxideSodium MetabiMetabisulfite Sodium,
3046,Sodium Metaphosphate,,,101.9618,,NaPO3,,phosphate glass practical grade,
3047,Sodium Metasilicate,,,122.071,,Na2SiO3,,Sodium Metasilicate Anhydrousdisodium metasilicate,
3048,Sodium Methyl Lauroyl Taurate,,,,,,,,
3049,Sodium Methyl Myristoyl Taurate,,,,,,,,
3050,Sodium Methyl Oleoyl Taurate,,,,,,,,
3051,Sodium Methyl Palmitoyl Taurate,,,,,,,,
3052,Sodium Methyl Stearoyl Taurate,,,,,,,,
3053,Sodium Methyl 2-Sulfolaurate,,,,,,,,
3054,Sodium Methylparaben,,,174.13,,C8H7NaO3,,,
3055,Sodium M-Nitrobenzenesulfonate,,,,,,,,
3056,Sodium Monofluorophosphate,,,143.95,,FNa2O3P,,"Sodium MonoflurophosphateSODIUM FLUOROPHOSPHATEPhosphorofluoridicacid,sodiumsalt,DISODIUM FLUOROPHOSPHATEfluorophosphoric acid, sodium salt,disodium phosphorofluoridatephosphorofluoridic acidphosphorofluoridate[fluoro(sodiooxy)phosphoryl]oxysodiumDisodium Monofluorophosphate",
3057,Sodium Myreth Sulfate,,,,,,,,
3058,Sodium Myristate,,,250.35,,C14H27NaO2,,,
3059,Sodium Myristoamphoacetate,,,,,,,,
3060,Sodium Myristoyl Isethionate,,,,,,,,
3061,Sodium Myristoyl Sarcosinate,,,,,,,,
3062,Sodium Myristyl Sulfate,,,316.44,,C14H29NaO4S,,"Sodium Myristyl SulfateSodium Tetradecyl Sulfatesodium 7-ethyl-2-methylundecan-4-yl sulfate1-tetradecanol, hydrogen sulfate, sodium salt,",
3063,Sodium Nitrite,,,69.9887,,15NNaO2,,,
3064,Sodium Nonoxynol-1 Sulfate,,,,,,,,
3065,Sodium Nonoxynol-3 Sulfate,,,,,,,,
3066,Sodium Nonoxynol-4 Sulfate,,,,,,,,
3067,Sodium Nonoxynol-6 Phosphate,,,,,,,,
3068,Sodium Nonoxynol-6 Sulfate,,,,,,,,
3069,Sodium Nonoxynol-8 Sulfate,,,,,,,,
3070,Sodium Nonoxynol-10 Sulfate,,,,,,,,
3071,Sodium Nonoxynol-25 Sulfate,,,,,,,,
3072,Sodium Octoxynol-2 Ethane Sulfonate,,,,,,,,
3073,Sodium Octoxynol-6 Sulfate,,,,,,,,
3074,Sodium Octoxynol-9 Sulfate,,,,,,,,
3075,Sodium Octoxynol-2 Sulfate,,,,,,,,
3076,Sodium Oleate,,,304.44,,C18H33NaO2,,"9-Octadecenoic acid, sodium salt,Oleic acid sodium saltOsteumSodium 9-octadecenoate9-Octadecenoic acid (Z)-, sodium salt,(9Z)-octadec-9-enoic acidsodium (9Z)-octadec-9-enoatesodium (9E)-octadec-9-enoate",
3077,Sodium Oleoamphoacetate,,,,,,,,
3078,Sodium Oleoamphohydroxypropylsulfonate,,,,,,,,
3079,Sodium Oleoamphopropionate,,,,,,,,
3080,Sodium Oleoyl Isethionate,,,,,,,,
3081,Sodium Oleyl Sulfate,,,,,,,,
3082,Sodium O-Phenylphenate,,,,,,,,
3083,Sodium Oxalate,,37 g/L (20???),134,,C2Na2O4,,Disodium oxalateOxalic acid disodium saltEthanedioic acid sodium saltdisodium ethanedioate,
