id,Chemical Name,LogP (Partition coefficient),LogS (water solubility of the ingredient),Molecular weight,Density,Chemical formula,Structure,Synonyms,Functionalities
2231,Phenyl Methyl Pyrazolone,,,,,,,,
2232,Phenyl Salicylate,,"Soluble in alcohol, ether, chloroform, turpentine, acetone and benzene. Sparingly soluble in chloroformbenzene. Insoluble in water.",214.22,1.250g/cm3,C13H10O3,,"['Salol', 'Phenyl salicy', 'Phenyl salicylate', 'Salicylic acid phenyl', 'Phenyl salicylate,Salol', 'Phenyl 2-hydroxybenzoate', 'Phenyl Salicylate, crystal', 'Salicylic acid phenyl ester', 'Phenyl 2-hydroxybenzoate(Phenyl salicylate)', 'Phenyl Salicylate Melting Point Standard (500 mg) (Approximately 41 degrees)', '2-Hydroxybenzoic Acid Phenyl EsterPhenyl 2-HydroxybenzoateSalicylic Acid Phenyl Ester']",
2233,Phenyl Trimethicone,,,,,,,"['PHENYL TRIMETHICONE', 'Phenyl Trimethicone', 'Phenyl Methyl Silicone Oils', 'Phenyl methyl silicone oil for cosmetics', 'Phenyl methyl silicone oil for cosmetics (iota 556)', 'PHENYL-T-BRANCHED POLYSILSESQUIOXANE, TRIMETHYLSILYL TERMINATED', 'PHENYL-T-BRANCHED POLYSILSESQUIOXANE, TRIMETHYLSILYL TERMINATED, 15-25 cSt', 'PHENYL-T-BRANCHED POLYSILSESQUIOXANE, TRIMETHYLSILYL TERMINATED, 150-300 cSt', 'PHENYL-T-BRANCHED POLYSILSESQUIOXANE, TRIMETHYLSILYL TERMINATED, 400-600 cSt']",
2234,Phenylalanine,,,165.19,1.118Â±0.06 g/cm3(Predicted),C9H11NO2,,"['PHENYLALANINE', 'Alanine, phenyl ester', 'phenyl 2-aminopropanoate', 'Alanine, phenyl ester (9CI)']",
2235,Phenylbenzimidazole Sulfonic Acid,,,,,,,,
2236,Phenylisohexanol,,,,,,,,
2237,Phenylmethylpentanal,,,,,,,,
2238,Phenylparaben,,,214.22,1.250Â±0.06 g/cm3(Predicted),C13H10O3,,"['PHENYLPARABEN', 'Phenyl  4-Hydrobenzoate', 'PHENYL 4-HYDROXYBENZOATE', 'Phenyl 4-hydroxybenzoate', 'phenyl 4-hydroxybenzoate', 'PHENYL P-HYDROXYBENZOATE', 'p-Hydroxybenzoic acid phenyl ester', '4-HYDROXYBENZOIC ACID PHENYL ESTER', '4-Hydroxybenzoic Acid Phenyl EsterPhenylparaben']",
2239,Phenylpropanol,,,136.19,,C9H12O,,"['phenylpropanol', 'phenyl-1-Propanol', '1-Propanol, phenyl-']",
2240,Phenylthioglycolic Acid,,,,,,,,
2241,Phloroglucinol,,11.17g/L(room temperature),126.11,0.801g/mLat 20°C,C6H6O3,,"['1,3,5-THB', 'Floroglucin', 'Spasfon-Lyoc', 'Phloroglucin', 'Phloroglucine', 'Floroglucinol', 'Phloroglucinol', '1,3,5-Benzenetriol', 's-Trihydroxybenzene', 'benzene-1,3,5-triol', 'sym-Trihydroxybenzene', '1,3,5-Trihydroxybenzene', '1,3,5-trihydroxy benzene', 'Phloroglucinol Anhydrous', '6,17-alpha Epoxypregnenolone']",
2242,Phosphoric Acid,,MISCIBLE,97.99,1.685,H3PO4,,"['Phosphoric acid', 'orthophosphoric acid', 'Anhydrous phosphoric acid', 'PHOSPHORIC ACID TECH.GRADE']",
2243,Phytantriol,,,330.55,0.937g/cm3,C20H42O3,,"['PHYTANTRIOL', '3,7,11,15-Tetramethyl-1,2,3-hexadecanetriol', '3,7,11,15-tetramethylhexadecane-1,2,3-triol', '3,7,11,15-tetramethyl-1,2,3-hexadecane-triol']",
2244,Phytic Acid,,MISCIBLE,660.04,1.432g/mLat 25°C,C6H18O24P6,,"['Alkalovert', 'Fytic acid', 'Phytic acid', 'sauredesphytins', 'phyticacidsolution', 'inocitol hexaphosphate', 'Inositol Hexaphosphate', 'Myo-inositol hexaphosphate', 'Inositol-hexaphosphoric acid', 'myo-Inositol hexakisphosphate', 'myo-Inositol, hexakis(dihydrogen phosphate)', '(2,3,4,5,6-Pentaphosphonooxycyclohexyl) dihydrogen phosphate', '(1R,2S,3r,4R,5S,6s)-cyclohexane-1,2,3,4,5,6-hexayl hexakis(phosphate)']",
2245,Phytonadione,,,450.702,0.963g/cm3,C31H46O2,,"['Vitamin K1', 'Phytonadione', 'phytomenadione', '2-Methyl-3-phytyl-1,4-naphthoquinone', '2-methyl-3-(3,7,11,15-tetramethylhexadecyl)decalin-1,4-diolate', '2-methyl-3-(3,7,11,15-tetramethyl-2-hexadecenyl)-1,4-naphthalenedione', '2-methyl-3-[(7R,11R)-3,7,11,15-tetramethylhexadec-2-enyl]naphthalene-1,4-dione', '2-methyl-3-[(2E,7R,11R)-3,7,11,15-tetramethylhexadec-2-en-1-yl]naphthalene-1,4-dione']",
2246,Phytosphingosine,,,317.51,0.983Â±0.06 g/cm3(Predicted),C18H39NO3,,"['PHYTOSPHINGOSINE', '3,4-Octadecanetriol, 2-amino-1', '1,3,4-Octadecanetriol,2-amino-', '(2S,3S,4S)-2-aminooctadecane-1,3,4-triol', 'Water-Soluble PHYTOSPHINGOSINE, Nano-Liposomal PHYTOSPHINGOSINE']",
2247,Picramic Acid,,<0.1 g/100 mL at 20.5 °C,199.12,1.6937 (rough estimate),C6H5N3O5,,"['zoba4r', 'furro4r', 'Zoba 4R', 'Furro 4R', 'picramic', 'fourrine93', 'Picramicacid', 'Picramic acid', 'Oxidation Base 21', 'C.I. Oxidation Base 21', '2-amino-4,6-dinitrophenol', '4,6-Dinitro-2-Amino Phenol', 'Phenol, 2-amino-4,6-dinitro-']",
2248,Pidobenzone,,,,,C11H11NO4,,['Pidobenzone'],
2249,Pigment Blue 15,,,,,,,,
2250,Pigment Red 4,,,327.72,1.4414 (rough estimate),C16H10ClN3O3,,"['C.I. 12085', 'PIGMENT RED 4', 'Pigment Red   4', 'PERMANENT RED 2B', 'C.I. Pigment Red 4', 'Pigment Red 4 (C.I.)', '1-(2-Chloro-4-nitrophenylazo)-2-naphthol', '1-(2-chloro-4-nitrophenylazo)-2-naphthol', '1-((2-chloro-4-nitrophenyl)azo)-2-naphtho', '1-((2-chloro-4-nitrophenyl)azo)-2-naphtaleno', '1-[(2-chloro-4-nitrophenyl)azo]-2-naphthaleno', '1-[(E)-(2-chloro-4-nitrophenyl)diazenyl]naphthalen-2-ol', '(1Z)-1-[(2-chloro-4-nitrophenyl)hydrazono]naphthalen-2(1H)-one']",
2251,Pigment Red 5,,,,,,,,
2252,Pigment Red 48,,,,,,,,
2253,Pigment Red 57,,116g/L at 25°C,430.34,1.59[at 20°C],C18H12N2Na2O6S,,"['11070red', 'DANDCREDNO6', 'PIGMENTRED57', 'LITHOLRUBINENA', 'PIGMENT RED 57', 'LITHOLRUBINBCA', 'D AND C RED NO 6', 'LITHOL RUBINE NA', 'LITHOL RUBIN BCA', '2-Naphthalenecarboxylicacid,3-hydroxy-4-[(4-methyl-2-sulfophenyl)azo]-,disodiumsalt', 'disodium,(4E)-4-[(4-methyl-2-sulfonatophenyl)hydrazinylidene]-3-oxonaphthalene-2-carboxylate']",
2254,Pigment Red 83,,,280.28892,,C14H8CaO4,,"['C.I. 58000', 'PIGMENT RED 83', 'Pigment Red 83']",
2255,Pigment Red 112,,,484.76,1.42Â±0.1 g/cm3(Predicted),C24H16Cl3N3O2,,"['12370', 'CI 12370', 'c.i. 12370', 'FAST RED FGR', 'PigmentredBB', 'NAPTHOL RED FGR', 'PIGMENT RED 112', 'Pigment Red 112', 'Pigment Fast Red SC', 'C.I. Pigment Red 112', 'PR112 NAPTHOL RED FGR', 'Pigment Red 112 (12370)', 'PIGMENT RED 112 (TECH GRADE)', '3-hydroxy-N-(o-tolyl)-4-(2,4,5-trichlorophenyl)azo-naphthalene-2-carboxamide', '3-hydroxy-n-(2-methylphenyl)-4-((2,4,5-trichlorophenyl)azo)naphthalene-2-carboxamide', '(4E)-N-(2-methylphenyl)-3-oxo-4-[(2,4,5-trichlorophenyl)hydrazinylidene]naphthalene-2-carboxamide', '(4E)-N-(2-methylphenyl)-3-oxo-4-[(2,4,5-trichlorophenyl)hydrazono]-3,4-dihydronaphthalene-2-carboxamide']",
2256,Pigment Violet 19,,,312.32,1.5 g/cm3,C20H12N2O2,,"['Red E 3B', 'E 3B Red', 'CI 73900', 'HSDB 6136', 'C.I. 46500', 'NSC 316165', 'Dark violet', 'Quinacridone', 'Monastral Red', 'Cinquasia red', 'Quindo  Violet', 'Sunfast Red 19', 'Sunfast Violet', 'PV-Fast Red E3B', 'PV-Fast Red E5B', 'Monastrol Red Y', 'Paliogen Red BG', 'Monastral Red Y', 'Cinquasia Red Y', 'Cinquasia Red B', 'Monastral Red B', 'PV Fast Red E 3B', 'PV Fast Red E 5B', 'QUINACRIDONE RED', 'Cinquasia Violet', 'Permanent Magenta', 'Pigment Violet 19', 'Permanent Red E 3B', 'Permanent Red E 5B', 'Hostaperm Red E 5B', 'Monastral Violet R', 'Cinquasia Violet R', 'CI Pigment Red 122', 'Hostaperm Red E 3B', 'Pigment Violet 19 Î³', 'Linear quinacridone', 'Pigment Violet 19 Î²', 'Cinquasia B-RT 796D', 'Monastral Violet 4R', 'Quinacridone Red MC', 'QUINACRIDONE VIOLET', 'Fastogen Super Red BN', 'Fastogen Super Red YE', 'C.I. Pigment Violet 19', 'Quinacridone Violet MC', 'Hostaperm Red Violet ER', 'Hostapern Red Violet ER', 'Cinquasia Red Y-RT 759D', 'Pigment Quinacridone Red', 'Linear trans quinacridone', 'Hostaperm Red Violet ER 02', 'Cinquasia Violet R-RT 791D', 'Pigment Violet Quinacridone', 'Pigment Pink Quinacridone S', 'C.I.Pigment Red 122 [Î³-type]', 'Pigment Violet 19 (technical product)', '3-b]acridine-7,14-dione,5,12-dihydro-quino[', '3-b)acridine-7,14-dione,5,12-dihydro-quino(', '5,12-dihydroquino[2,3-b]acridine-7,14-dione', 'Quino(2,3-b)acridine-7,14-dione, 5,12-dihydro-', '5,12-dihydroquinolino[2,3-b]acridine-7,14-dione', '5,12-dihydroquinolino[2,3-b]acridine-7,14-quinone', '5,12-Dihydroquin[2,3-b]acridine-7,14-dionePigment Violet 19']",
2257,Pigment Yellow 12,,<0.1 g/100 mL at 22°C,629.5,1.34g/cm3,C32H26Cl2N6O4,,"['C.I. 21090', 'Pigment Yellow 12', 'Benzidine Yellow G', 'C.I. Pigment Yellow 12', 'Pigment Yellow 12 (21090)', 'C.I. Pigment Yellow 12 (VAN) (8CI)', '2-[2-chloro-4-[3-chloro-4-[2-oxo-1-(phenylcarbamoyl)propyl]azo-phenyl]phenyl]azo-3-oxo-N-phenyl-butanamide']",
2258,Pigment Yellow 13,,<0.1 g/100 mL at 22 °C,685.6,1.29g/cm3,C36H34Cl2N6O4,,"['CI 21100', 'C.I. 21100', 'Pigment Yellow 13', 'Pigment Yellow  13', 'C.I. Pigment Yellow 13', 'C.I. Pigment Yellow 13 (7CI,8CI)', 'C.I. Pigment Yellow 13 (VAN) (8CI)']",
2259,Pigment Yellow 73,,,,,,,,
2260,Piperonal,,Slightly soluble,150.131,1.337g/cm3,C8H6O3,,"['Piperonal', 'peperonal', 'Heliotropin', 'HELIOTROPINE', 'Piperonyl aldehyde', '3,4-Methylenedioxybenzaldeh', '1,3-benzodioxole-5-carbaldehyde', '3,4-(Methylenedioxy)benzaldehyde']",
2261,Piroctone Olamine,,400-50000mg/L at 20-25°C,298.43,1.1[at 20°C],C16H30N2O3,,"['Octopirox', 'octopiroxolamine', 'piroctone olamine', 'Piroctone Oleamine', 'Pyridine-amino ethanol', 'Hydroxyl pyrazole ketones', '1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl)', '1-Hydroxy-4-methyl-6(2,4,4-trimethylpentyl)2-pyridon monoethanolamine', '4,4-trimethylpentyl)-1-hydroxy-4-methyl-6-(compd.with2-2(1h)-pyridinon', '1-hydroxy-4-methyl-6(2,4,4-trimethylpentyl)2-pyridon monoethanolamine salt']",
2262,P-Methyl Acetophenone,,,,,,,,
2263,P-Methylaminophenol,,,123.15,1.147Â±0.06 g/cm3(Predicted),C7H9NO,,"['NSC 7311', 'HSDB 4320', 'BRN 1363740', '4-Methylaminophenol', 'p-Methylaminophenol', '4-(Methylamino)phenol', '4-N-METHYLAMINOPHENOL', 'p-(Methylamino)phenol', 'Paramethylaminophenol', 'N-Methyl-4-aminophenol', 'PARA-METHYLAMINOPHENOL', 'N-Methyl-p-aminophenol', 'Phenol, p-(methylamino)-', 'Phenol, 4-(methylamino)-', 'N-Methyl-4-hydroxyaniline', 'PHENOL,PARA-(METHYLAMINO)-', 'phenol,4-(methylamino)-[qr]', 'phenol,p-(methylamino)-[qr]', 'p-Methylaminophenyl sulfate', 'Phenol, 4-(methylamino)- (9CI)', '4-(MethylaMino)phenol hydrobroMide', '3-13-00-01007 (Beilstein Handbook Reference)']",
2264,P-Methylaminophenol Sulfate,,50 g/L (20 °C),221.23,1.577,C7H11NO5S,,"['ELON', 'METOL', 'GENOL', 'ARMOL', 'Metol', 'METHOL', 'ECOL(R)', 'METOL(TM)', '4-Methylaminophenol sulfate', 'p-Methylaminophenol sulfate', '4-(Methylamino)phenol hemisulfate salt', 'Bis(4-hydroxy-N-methylanilinium) sulphate', 'BIS-(N-METHYL-4-HYDROXYANILINIUM) SULFATE']",
2265,Poloxamer 101,,,,,,,,
2266,Poloxamer 124,,,,,,,,
2267,Poloxamer 181,,,,,,,,
2268,Poloxamer 182,,,,,,,,
2269,Poloxamer 183,,,,,,,,
2270,Poloxamer 184,,,,,,,,
2271,Poloxamer 185,,,,,,,,
2272,Poloxamer 188,,,102.13,,C5H10O2,,['Poloxamer 188'],
2273,Poloxamer 217,,,,,,,,
2274,Poloxamer 234,,,,,,,,
2275,Poloxamer 237,,,,,,,,
2276,Poloxamer 333,,,,,,,,
2277,Poloxamer 334,,,,,,,,
2278,Poloxamer 335,,,,,,,,
2279,Poloxamer 338,,,,,,,,
2280,Poloxamer 401,,,,,,,,
2281,Poloxamer 403,,,,,,,,
2282,Poloxamer 407,,,,,,,,
2283,Polyacrylamide,,SOLUBLE,71.0785,1.3,[CH2CH(CONH2)]n,,"['PAM', 'Polyacrylamide', 'Poly(acrylamide)', 'Acrylamide resin', 'anionic polyacrylamide', 'Cationic Polyacrylamide', 'Acrylamide gel solution', 'non-ionic polyacrylamide', 'Polyacrylamide,hydrolyzed', 'yacrylamide dry powder,non-ionic', 'Polyacrylamide dry powder,cationic']",
2284,Polyacrylamidomethylpropane Sulfonic Acid,,,,,,,,
2285,Polyacrylic Acid,,Soluble in water.,,1.270 g/cm3,C84H112O56,,"['940', 'PAA', 'Carbopol', 'Carbomer 910', 'CARBOPOL(R) 940', 'CARBOPOL(TM) 934', 'CARBOPOL(TM) 941', 'CARBOPOL(TM) 910', 'acrylicacid,poly', 'Polyacrylic Acid', 'CARBOPOL(TM) 940', 'Poly(acrylic acid)', 'Fluorosulfuric acid', 'Acrylic Acid glacial', 'ACRYLIC ACID POLYMER', 'Carboxypoly-methylene', 'Acrylic acid Polymers', 'Acrylic polymer resins', 'Polyacrylic Acid (PAA)', 'Propenoic acid polymer', 'Poly(acrylic acid)-2000', 'poly(1-carboxyethylene)', 'Propenoic acid, homopolymer', '2-Propenoic acid, homopolymer', 'Propenoic acid, polymers, homopolymer']",
2286,Polybutene,,,,,,,,
2287,Polycaprolactone,,,,,,,,
2288,Polychlorotrifluoroethylene,,,,,,,,
2289,Polydecene,,,140.27,,C10H20,,"['POLYDECENE', '1-Decene, homopolymer']",
2290,Polydextrose,,,342.29648,,C6H10O5)n,,"['POLYDEXTROSE', 'Polydextrose', 'Poly-D-glucose', 'Unii-vh2xou12ie', 'Polydextrose (200 mg)', 'Polydextrose solution', 'POLYDEXTROSE,UNTREATED,FCC', 'Water-soluble dietary fiber']",
2291,Polydipentene,,,,,,,,
2292,Polyethylacrylate,,,,,,,,
2293,Polyethylene,,,112.21264,0.962g/mLat 25°C,C8H16,,"['AC-8', 'ETHYLENE RESIN', 'ETHYLENE LATEX', 'POLYETHYLENE, BRANCHED']",
2294,Polyethylene Terephthalate,,,228.19868,1.68g/mLat 25°C,C10H12O6,,"['pet', 'arnitea', 'arniteg', 'arnitea200', 'arniteg600', 'pegoterate', 'arnitefp800', 'arnitea-049000', 'Polyester short-cut fiber', 'Polyethylene terephthalate', 'poly(ethylene terephthalate)', '3DXNANO ESD CNT-PETG carbon nanotube reinforced polyethylene terephthalate glycol copolymer 3D printing filament']",
2295,Polyglycerin-3,,,92.09,1.2892,C3H8O3,,"['DIGLYCERIN', 'POLYGLYCEROL', 'polyglycerine', 'Polyglycerine', ' Polyglycerol', 'POLYGLYCERIN-3', 'Glycerol polymer', ' Glycerol polymer', 'propane-1,2,3-triol', 'Glycerol homopolymer', 'glycerol homopolymer', '1,2,3-Propanetriol homopolymer', ' 1,2,3-Propanetriol homopolymer']",
2296,Polyglyceryl-2 Caprate,,,320.42,,C16H32O6,,"['POLYGLYCERYL-2 CAPRATE', 'Polyglycerol-2-caprate', 'Decanoic acid, 3-(2,3-dihydroxypropoxy)-2-hydroxypropyl ester']",
2297,Polyglyceryl-2 Caprylate,,,,,,,,
2298,Polyglyceryl-2 Diisostearate,,,,,,,,
2299,Polyglyceryl-2 Dioleate,,,,,,,"['Polyglycerol-2 Dioleate', 'Polyglycerol-2 dioleate', 'POLYGLYCERYL-2 DIOLEATE']",
2300,Polyglyceryl-2 Dipolyhydroxystearate,,,731.09508,,C42H82O9,,['POLYGLYCERYL-2 DIPOLYHYDROXYSTEARATE'],
2301,Polyglyceryl-2 Isostearate,,,,,,,,
2302,Polyglyceryl-2 Laurate,,,,,,,,
2303,Polyglyceryl-2 Oleate,,,430.61844,,C24H46O6,,"['Polyglycerol-2 oleate', 'POLYGLYCERYL-2 OLEATE', 'Two polyglyceryl dioleate', 'polyglyceryl-2 oleate,diglyceryl monooleate', 'oleic acid, monoester with oxybis(propanediol)', '9-Octadecenoic acid (Z)-, monoester with oxybis(propanediol)', '[3-(3,3-dihydroxypropoxy)-1-hydroxypropyl] (Z)-octadec-9-enoate']",
2304,Polyglyceryl-2 Sesquioleate,,,,,,,,
2305,Polyglyceryl-2 Sesquistearate,,,,,,,,
2306,Polyglyceryl-2 Tetraisostearate,,,,,,,,
2307,Polyglyceryl-2 Tetrastearate,,,,,,,,
2308,Polyglyceryl-2 Triisostearate,,,965.55824,,C60H116O8,,"['POLYGLYCERYL-2 TRIISOSTEARATE', 'Isooctadecanoic acid, triester with oxybispropanediol']",
2309,Polyglyceryl-2-Peg-4 Stearate,,,,,,,,
2310,Polyglyceryl-3 Caprate,,,,,,,"['POLYGLYCERYL-3 CAPRATE', 'Polyglycerol-3-caprate']",
2311,Polyglyceryl-3 Diisostearate,,,,,C45H88O9,,"['EMerest 2452', 'POLYGLYCERYL-3 DIISOSTEARATE', 'Polyglycerol-3 diisostearate', 'Isooctadecanoic acid, diester with triglycerol', '[2-hydroxy-3-[2-hydroxy-3-[2-hydroxy-3-(16-methylheptadecanoyloxy)propoxy]propoxy]propyl] 16-methylheptadecanoate']",
2312,Polyglyceryl-3 Laurate,,,,,,,,
2313,Polyglyceryl-3 Methylglucose Distearate,,,,,,,,
2314,Polyglyceryl-3 Oleate,,,504.7,,C27H52O8,,"['POLYGLYCERYL-3 OLEATE', 'Polyglycerol-3 oleate', 'Triglyceryl monooleate', 'Polyglyceryl-3 monooleate', 'oleic acid, monoester with triglycerol', '9-Octadecenoic acid (9Z)-, monoester with triglycerol', '9-Octadecenoic acid (9Z)-,esters,monoester with triglycerol']",
2315,Polyglyceryl-3 Ricinoleate,,,,,,,,
2316,Polyglyceryl-3 Stearate,,,506.71,,C27H54O8,,"['TGMS', 'Triglycerol stearate', 'triglycerol stearate', 'POLYGLYCERYL-3 STEARATE', 'TRIGLYCEROL MONOSTEARATE', 'triglycerol monostearate', 'polygycerol monostearate', 'Triglycerol monostearate', 'octadecanoic acid,propane-1,2,3-triol', 'Polyglycerol Esters Of Fatty Acids E475', 'octadecanoic acid monoester with triglycerol']",
2317,Polyglyceryl-4 Caprate,,,,,,,"['POLYGLYCERYL-4 CAPRATE', 'Polyglycerol-4-caprate', 'Polyglycerol-4 decanoat', 'POLYGLYCEROL-4 decanoate']",
2318,Polyglyceryl-4 Oleate,,,,,,,,
2319,Polyglyceryl-4 Stearate,,,,,,,['POLYGLYCERYL-4 STEARATE'],
2320,Polyglyceryl-6 Distearate,,,995.416,,C54H106O15,,"['Polyaldo HGDS', 'Hexaglycerol distearate', 'Hexaglycerin distearate', 'POLYGLYCERYL-6 DISTEARATE', 'Polyaldo(R) HGDS, Kosher FG', 'Polyaldo(R) HGDS KFG (6-2-S)', 'distearic acid, diester with hexaglycerol', 'Octadecanoic acid, diester with hexaglycerol']",
2321,Polyglyceryl-6 Tristearate,,,,,,,,
2322,Polyglyceryl-10 Hexaoleate,,,,,,,,
2323,Polyglyceryl-10 Decalinoleate,,,,,,,,
2324,Polyglyceryl-10 Decastearate,,,1205.41544,,C48H116O32,,"['Octadecanoicacid,decaesterwithdecaglycerol']",
2325,Polyglyceryl-10 Dioleate,,,,,,,,
2326,Polyglyceryl-10 Distearate,,,,,,,"['Decaglyceryl distearate', 'POLYGLYCERYL-10 DISTEARATE', 'Polyglycerol-10 disstearate']",
2327,Polyglyceryl-10 Isostearate,,,,,,,"['POLYGLYCERYL-10 ISOSTEARATE', 'Decaglyceryl monoisostearate', 'Decaglycerol monoisostearate']",
2328,Polyglyceryl-10 Laurate,,,,,,,"['Laurate polyglyceryl-10', 'POLYGLYCERYL-10 LAURATE', 'Polyglycerol-10 laurate', 'Polyglycerol-10 Laurate', 'Decaglyceryl monolaurate', 'TIANFU-CHEM POLYGLYCERYL-10 LAURATE', 'Dodecanoic acid,monoester with dexaglycerol', 'Dodecanoic acid, monoester with dexaglycerol']",
2329,Polyglyceryl-10 Oleate,,,,,C48H94O22,,"['Einecs 279-230-0', 'POLYGLYCERYL-10 OLEATE', 'Polyglycerly-10 Oleate', 'Polyglycerol-10 oleate', 'Decaglyceryl monooleate', 'Decaglycerin monooleate', 'monoester with decaglycerol', 'oleic acid, monoester with decaglycerol']",
2330,Polyglyceryl-10 Pentastearate,,,,,,,,
2331,Polyglyceryl-10 Stearate,,,,,,,,
2332,Polyglyceryl-10 Tetraoleate,,,,,,,,
2333,Polyglyceryl-10 Trioleate,,,,,,,"['Decaglyceryl trioleate', 'POLYGLYCERYL-10 TRIOLEATE']",
2334,Polyglyceryl-10 Tristearate,,,,,,,"['Decaglyceryl tristearate', 'POLYGLYCERYL-10 TRISTEARATE']",
2335,Polyglycerylmethacrylate,,,160.16778,,C7H12O4,,"['POLY(1-GLYCEROL METHACRYLATE)', 'GLYCERYL METHACRYLATE POLYMER', '2-Propenoicacid,2-methyl-,2,3-dihydroxypropylester,homopolymer', 'polyglycerylmethacrylate', 'poly(glycerol 1-O-monomethacrylate) macromolecule', 'Lubrajel']",
2336,Polyisoprene,,,,,,,,
2337,Polylysine,,,146.19,1.125g/cm3,C6H14N2O2,,"['Polylysine', 'POLYLYSINE', 'Lysine polymer', 'Lysine homopolymer', 'Epsilon-Poly-L-Lysin', 'Lysine homopolymer, L-', 'POLYLYSINE, CPC PEPTIDE', 'epsilon-Lysine homopolymer', 'LYS-LYS-LYS-LYS-LYS-LYS-LYS-LYS-LYS-LYS']",
2338,Polymethacrylamidopropyltrimonium Chloride,,,,,,,,
2339,Polymethacrylic Acid,,,,,,,,
2340,Polymethoxy Bicyclic Oxazolidine,,,,,,,,
2341,Polymethyl Methacrylate,,,,,,,,
2342,Polymethylglutamate,,,,,,,,
2343,Polyoxymethylene Urea,,,,,,,,
2344,Polypropylene,,,354.56708,0.9 g/mL at 25 °C (lit.),C22H42O3,,"['PP', 'Polypropylene', 'POLYPROPYLENE', 'PROPYLENE RESIN', 'POLYPROPYLENE, ATACTIC', 'POLYPROPYLENE, ISOTACTIC', 'Polypropylene,film grade', 'PROPYLENE, ISOTACTIC RESIN', 'POLYPROPYLENE, PSS NANOREINFORCED', 'Polypropylene master batch,flame retarding']",
2345,Polyquaternium-1,,,2500.0,,(C6H12ClN)nC16H36Cl2N2O6,,"['OnaMer M', 'Polyquad', 'Polyquat 1', 'Onyxsperse 12S', 'Polyquaternium-1', 'POLYQUATERNIUM I', 'Polidronium chloride', 'Î±-[4-[Tris(2-hydroxyethyl)aMMonio]-2-buten-1-yl]-Ï\x89-[tris(2-hydroxyethyl)aMMonio]poly[(diMethyliMinio)-2-butene-1,4-diyl Chloride] Chloride']",
2346,Polyquaternium-6,,,491.06,1.09g/mLat 25°C,C24H54Cl3N3X2,,"['PDAC', 'e261', '261lv', 'PDADMAC', 'PDMDAAC', 'cp261lv', 'calgon261', 'PolyDADMAC', 'PolyDMDAAC', 'ageflocwt20', 'Quaternium-40', 'Flocculant ST', 'Polyquaternium-6', 'Polyquaternium-b', 'Decolor flocculant,high efficiency', 'Poly(diallyldimethylammonium chloride)', 'Polydiallyl dimethyl ammonium chloride', 'Poly Dimethyl Diallyl Ammonium Chloride', 'diallyldimethylammoniumchloridepolymers', 'Poly(diallyl dimethyl ammonium chloride)', 'Dimethyldiallylammonium chloride Polymers', 'ammonium,diallyldimethyl-,chloride,polymers', 'Polymer of dimethyl diallylammonium chloride', 'Poly(Dimethyldiallylammonium Chloride) Series', 'N,N-dimethyl-N-(prop-2-en-1-yl)prop-2-en-1-aminium', 'Poly(N,N-dimethyl-3,5-methylene piperidinum chloride)', 'N,N-dimethyl-N-(prop-2-en-1-yl)prop-2-en-1-aminium chloride', '2-Propen-1-aminium,N,N-dimethyl-N-Propenyl-,chloride homopolymer', '2-Propen-1-aminium,N,N-dimethyl-N-2-propenyl-,chloride,homopolymer']",
2347,Polyquaternium-7,,,232.75,1.02g/mLat 25°C,C11H21ClN2O,,"['M550', 'Polyquaternium-7', 'DMDAAC Copolymers', 'acrylamidecopolymer', 'Polyquaternium-7(PQ-7)', 'Dimethyldiallylammonium chloride acrylamide polymer', 'POLY(ACRYLAMIDE-CO-DIALLYLDIMETHYLAMMONIUM CHLORIDE)', 'Poly(acrylamide-co-diallyldimethylammonium chloride)', 'Poly(acrylamide-co-diallyldimethylammonium chloride), antistatic agent', 'N,N-Dimethyl- N-2-propen-1-aminium chloride,polymer with 2-propenamiole', 'POLY(2-PROPENE-1-AMINIUM, N-DIMETHYL-N-2-PROPENYL CHLORIDE-CO-ACRYLAMIDE)', '2-Propen-1-aminium,N,N-dimethyl-N-2-propenyl-,chloride,polymerwith2-propenamide', 'N,N-Dimethyl-N-2-propenyl-2-propen-1-aminium chloride polymer with 2-propenamide', '2-propen-1-aminium,N,N-Dimethyl-N-2-propenyl-,chloride,polymer with 2-propenamide']",
2348,Polyquaternium-28,,,331.8813,,C16H30ClN3O2,,"['pyrrolidinone', 'Gafquat HS 100', 'Polyquaternium-28', 'propanaminium chloride polymer with 1-ethenyl-2-', 'trimethyl-[3-(2-methylprop-2-enoylamino)propyl]azanium', 'n,n,n-trimethyl-3-((2-methyl-1-oxo-2-propenyl)amino)-1-', '2-Propenoic acid polymer with N,N-dimethyl-N-2-propenyl 2-propen-1-aminium chloride', '2-Propen-1-aminium, N,N-dimethyl-N-2-propenyl-, chloride, polymer with 2-propenoic acid', '1-ethenylpyrrolidin-2-one,trimethyl-[3-(2-methylprop-2-enoylamino)propyl]azanium,chloride', '1-Ethenyl-2-pyrrolidinone polymer with N,N,N-trimethyl-3-[(2-methyl-1-oxo-2-propenyl)amino]-1-propanaminium chloride', '1-Propanaminium, N,N,N-trimethyl-3-(2-methyl-1-oxo-2-propenyl)amino-, chloride, polymer with 1-ethenyl-2-pyrrolidinone']",
